pr_id,type_estate,district,posted_date,area,price,legal_document,interior,num_bedrooms,num_bathrooms,num_floors,entrance,frontage,price_per_sqm
39542196,1,7,2024-05-12,135.0,43000000000.0,1,1,4,4,3,6.0,6.5,318518519.0
38979800,1,1,2024-05-12,125.0,40000000000.0,2,1,4,4,4,6.0,5.0,320000000.0
39653210,1,29,2024-05-12,130.0,30000000000.0,1,1,4,4,2,6.0,5.0,230769231.0
38916983,1,12,2024-05-12,150.0,46500000000.0,1,1,4,4,9,6.0,5.0,310000000.0
39840335,2,4,2024-05-13,38.2,10800000000.0,2,0,4,4,5,6.0,5.0,282722513.0
39664186,0,11,2024-05-13,60.0,8500000000.0,2,1,2,3,3,9.0,5.0,141666667.0
39658626,1,11,2024-05-13,55.0,12000000000.0,2,1,3,3,3,5.0,4.0,218181818.0
39658931,1,11,2024-05-13,50.0,15500000000.0,2,1,6,6,6,6.0,6.1,310000000.0
39276681,2,15,2024-05-13,73.0,10500000000.0,2,3,19,20,7,3.0,5.0,143835616.0
39840577,2,29,2024-05-13,50.0,12500000000.0,2,1,4,5,6,6.0,4.2,250000000.0
39840566,1,11,2024-05-13,53.0,11600000000.0,2,0,4,4,5,6.0,5.0,218867925.0
39836054,2,4,2024-05-13,46.0,12000000000.0,2,3,6,5,5,4.0,3.5,260869565.0
39840561,2,7,2024-05-13,160.0,22000000000.0,2,1,6,6,3,6.0,5.0,137500000.0
39296301,2,10,2024-05-13,47.0,3950000000.0,2,1,2,1,1,6.0,5.0,84042553.0
39840207,2,11,2024-05-13,50.0,9300000000.0,2,3,6,3,5,8.0,4.0,186000000.0
39658469,2,10,2024-05-13,48.0,14000000000.0,1,1,4,4,7,6.0,6.0,291666667.0
39698302,0,10,2024-05-13,75.0,18000000000.0,2,1,5,4,5,6.0,5.1,240000000.0
39438353,2,10,2024-05-13,58.0,9800000000.0,2,1,3,4,4,6.0,5.0,168965517.0
39440255,0,10,2024-05-13,54.0,13000000000.0,2,1,4,4,5,6.0,5.0,240740741.0
39656732,2,10,2024-05-13,65.0,13900000000.0,2,1,4,4,7,6.0,5.5,213846154.0
39638748,1,10,2024-05-13,71.0,38000000000.0,2,1,4,4,8,6.0,4.8,535211268.0
38829076,2,17,2024-04-18,55.0,1900000000.0,2,0,3,3,3,3.5,4.5,34545455.0
39058335,2,3,2024-04-18,35.0,1650000000.0,2,3,3,3,3,3.0,4.0,47142857.0
39627399,2,8,2024-04-18,42.0,1690000000.0,2,3,3,3,3,3.5,4.0,40238095.0
39840377,2,2,2024-05-13,35.0,7300000000.0,2,3,4,4,4,6.0,5.0,208571429.0
39777656,2,15,2024-05-07,62.0,9900000000.0,2,3,6,4,5,4.0,5.0,159677419.0
37928246,1,23,2024-05-13,110.0,46000000000.0,2,1,4,4,10,6.0,5.3,418181818.0
39840362,0,8,2024-05-13,120.0,19000000000.0,2,3,5,6,4,15.0,6.0,158333333.0
39514558,2,7,2024-05-08,26.0,2750000000.0,2,1,2,2,2,6.0,5.0,105769231.0
39840615,2,2,2024-05-13,40.0,3700000000.0,2,1,4,3,4,6.0,5.0,92500000.0
39169895,2,7,2024-05-13,25.0,2800000000.0,1,1,3,4,4,6.0,5.0,112000000.0
39775573,1,29,2024-05-07,40.0,32000000000.0,1,1,5,5,6,20.0,4.0,800000000.0
34312716,1,11,2024-05-13,114.0,16500000000.0,2,3,1,1,1,18.0,5.5,144736842.0
39498010,2,7,2024-05-04,30.0,5700000000.0,2,1,3,4,5,6.0,5.0,190000000.0
31754355,2,11,2024-05-13,65.0,14000000000.0,2,3,7,7,7,20.0,4.8,215384615.0
39840347,2,4,2024-05-13,48.0,15500000000.0,2,3,6,4,5,6.0,4.2,322916667.0
39840340,2,26,2024-05-13,30.0,4400000000.0,2,1,4,4,5,6.0,5.0,146666667.0
39840341,2,11,2024-05-13,32.0,3000000000.0,2,1,4,4,4,6.0,3.7,93750000.0
39726255,1,4,2024-05-12,90.0,51500000000.0,2,1,4,4,8,6.0,5.0,572222222.0
39404077,2,12,2024-05-13,92.0,15500000000.0,2,1,4,4,7,6.0,5.0,168478261.0
39604787,2,4,2024-05-12,58.0,11300000000.0,2,3,4,4,6,6.0,5.0,194827586.0
39624426,1,23,2024-05-12,54.0,32000000000.0,2,3,4,4,5,6.0,5.0,592592593.0
39594374,2,4,2024-05-12,101.0,32000000000.0,2,3,4,4,8,6.0,5.0,316831683.0
39840719,2,4,2024-05-13,48.0,19350000000.0,2,1,4,4,5,6.0,5.0,403125000.0
36679164,0,10,2024-05-07,205.0,19500000000.0,2,1,4,4,4,6.0,5.0,95121951.0
39608876,2,22,2024-05-13,34.0,3900000000.0,2,0,3,3,5,6.0,5.0,114705882.0
39321236,1,4,2024-05-11,180.0,120000000000.0,2,1,4,4,7,6.0,8.2,666666667.0
39801186,0,11,2024-05-09,102.0,15000000000.0,2,3,4,6,5,6.0,5.0,147058824.0
35743599,0,23,2024-05-13,165.2,26500000000.0,2,3,6,7,4,6.0,10.0,160411622.0
36484195,2,10,2024-05-13,48.5,10500000000.0,2,1,6,5,5,3.0,4.0,216494845.0
39493654,2,7,2024-05-13,46.0,4800000000.0,2,3,4,4,4,6.0,4.5,104347826.0
39840390,2,23,2024-05-13,45.0,7250000000.0,2,1,4,5,4,6.0,3.1,161111111.0
39839960,1,12,2024-05-13,40.0,15000000000.0,2,1,4,4,5,9.0,4.7,375000000.0
39840680,2,1,2024-05-13,32.0,3400000000.0,2,3,3,3,3,3.0,4.0,106250000.0
39267741,2,22,2024-05-13,34.0,2580000000.0,2,0,3,3,4,6.0,5.0,75882353.0
39070659,1,26,2024-05-08,105.0,37000000000.0,2,3,8,7,7,15.0,5.2,352380952.0
38428554,2,4,2024-05-14,65.0,13000000000.0,2,0,4,4,5,6.0,5.0,200000000.0
39647756,1,10,2024-05-06,100.0,40000000000.0,2,3,4,4,4,50.0,5.5,400000000.0
39670686,0,11,2024-05-14,281.0,103000000000.0,2,1,4,4,5,21.0,14.0,366548043.0
39843538,2,11,2024-05-14,30.0,5100000000.0,2,3,3,4,5,3.0,3.5,170000000.0
39123586,1,1,2024-05-14,230.0,89000000000.0,2,3,4,4,2,6.0,8.0,386956522.0
38824601,0,11,2024-05-13,55.0,9000000000.0,2,3,4,4,5,12.0,4.5,163636364.0
39443955,2,11,2024-05-14,150.0,15200000000.0,1,1,5,5,4,8.0,4.7,101333333.0
38714608,2,12,2024-05-14,66.0,17000000000.0,2,1,4,4,6,6.0,6.0,257575758.0
39843760,2,23,2024-05-14,62.0,13500000000.0,2,3,4,3,4,6.0,4.0,217741935.0
39843075,2,23,2024-05-14,50.0,6550000000.0,2,3,4,5,5,6.0,4.2,131000000.0
39841447,2,29,2024-05-14,33.0,6900000000.0,2,0,4,4,4,6.0,5.0,209090909.0
39834098,2,2,2024-05-13,36.0,5450000000.0,2,3,3,3,5,3.0,6.0,151388889.0
