pr_id,type_estate,district,posted_date,area,price,legal_document,interior,num_bedrooms,num_bathrooms,num_floors,entrance,frontage,price_per_sqm
39581433,Nhà mặt phố,Thanh Xuân,2024-05-13,90.0,53800000000.0,Sổ đỏ/ sổ hồng,Đầy đủ,6,6,6,30.0,6.0,597777778.0
39840482,Nhà biệt thự liền kề,Hà Đông,2024-05-13,50.0,9400000000.0,Sổ đỏ/ sổ hồng,Khác,6,7,5,-1.0,4.0,188000000.0
39757309,Nhà riêng,Cầu Giấy,2024-05-07,67.0,9000000000.0,Sổ đỏ/ sổ hồng,Khác,8,6,5,5.0,4.0,134328358.0
32603678,Nhà biệt thự liền kề,Hà Đông,2024-05-13,170.0,27000000000.0,Sổ đỏ/ sổ hồng,Khác,5,5,3,27.0,9.0,158823529.0
39268228,Nhà riêng,Hoài Đức,2024-05-08,56.0,1900000000.0,Sổ đỏ/ sổ hồng,Cơ bản,3,3,3,-1.0,-1.0,33928571.0
39840477,Nhà riêng,Hoàng Mai,2024-05-13,34.0,4550000000.0,Sổ đỏ/ sổ hồng,Đầy đủ,3,3,3,-1.0,-1.0,133823529.0
39240799,Nhà mặt phố,Hoàng Mai,2024-05-13,140.0,21000000000.0,Khác,Khác,6,7,5,14.0,6.0,150000000.0
38319102,Nhà riêng,Hoàng Mai,2024-05-13,150.0,25000000000.0,Khác,Khác,8,6,5,14.0,6.0,166666667.0
39840811,Nhà biệt thự liền kề,Long Biên,2024-05-13,88.6,33500000000.0,Sổ đỏ/ sổ hồng,Đầy đủ,-1,-1,-1,-1.0,-1.0,378103837.0
39840803,Shophouse/Nhà phố thương mại,Hoàng Mai,2024-05-13,72.0,9000000000.0,Sổ đỏ/ sổ hồng,Không nội thất,-1,-1,-1,-1.0,-1.0,125000000.0
39087281,Shophouse/Nhà phố thương mại,Nam Từ Liêm,2024-05-13,294.0,24000000000.0,Sổ đỏ/ sổ hồng,Đầy đủ,-1,-1,2,-1.0,-1.0,81632653.0
39073285,Nhà mặt phố,Đống Đa,2024-05-13,117.0,76167000000.0,Sổ đỏ/ sổ hồng,Đầy đủ,-1,-1,7,-1.0,5.05,651000000.0
39522239,Nhà riêng,Tây Hồ,2024-05-13,300.0,97000000000.0,Sổ đỏ/ sổ hồng,Đầy đủ,36,22,7,5.0,21.0,323333333.0
39440818,Nhà biệt thự liền kề,Tây Hồ,2024-05-13,318.5,121000000000.0,Sổ đỏ/ sổ hồng,Không nội thất,6,5,5,20.0,12.0,379905808.0
39840788,Nhà riêng,Thanh Xuân,2024-05-13,50.0,9000000000.0,Sổ đỏ/ sổ hồng,Khác,4,-1,4,-1.0,-1.0,180000000.0
39840456,Nhà riêng,Bắc Từ Liêm,2024-05-13,45.0,8500000000.0,Khác,Khác,-1,-1,5,-1.0,4.0,188888889.0
39407930,Nhà biệt thự liền kề,Hà Đông,2024-05-13,170.0,22500000000.0,Khác,Khác,4,4,4,-1.0,-1.0,132352941.0
39542196,Nhà mặt phố,Hai Bà Trưng,2024-05-12,135.0,43000000000.0,Khác,Khác,-1,-1,3,-1.0,6.5,318518519.0
38979800,Nhà mặt phố,Ba Đình,2024-05-12,125.0,40000000000.0,Sổ đỏ/ sổ hồng,Khác,-1,-1,4,-1.0,-1.0,320000000.0
39653210,Nhà mặt phố,Đống Đa,2024-05-12,130.0,30000000000.0,Khác,Khác,-1,-1,2,-1.0,5.0,230769231.0
38916983,Nhà mặt phố,Long Biên,2024-05-12,150.0,46500000000.0,Khác,Khác,-1,-1,9,-1.0,-1.0,310000000.0
39840335,Nhà riêng,Cầu Giấy,2024-05-13,38.2,10800000000.0,Sổ đỏ/ sổ hồng,Cơ bản,-1,-1,-1,-1.0,-1.0,282722513.0
39664186,Nhà biệt thự liền kề,Hà Đông,2024-05-13,60.0,8500000000.0,Sổ đỏ/ sổ hồng,Khác,2,3,3,9.0,5.0,141666667.0
39658626,Nhà mặt phố,Hà Đông,2024-05-13,55.0,12000000000.0,Sổ đỏ/ sổ hồng,Khác,3,3,3,5.0,4.0,218181818.0
39658931,Nhà mặt phố,Hà Đông,2024-05-13,50.0,15500000000.0,Sổ đỏ/ sổ hồng,Khác,6,6,6,-1.0,6.1,310000000.0
39276681,Nhà riêng,Nam Từ Liêm,2024-05-13,73.0,10500000000.0,Sổ đỏ/ sổ hồng,Đầy đủ,19,20,7,3.0,-1.0,143835616.0
39840577,Nhà riêng,Đống Đa,2024-05-13,50.0,12500000000.0,Sổ đỏ/ sổ hồng,Khác,4,5,6,6.0,4.2,250000000.0
39840566,Nhà mặt phố,Hà Đông,2024-05-13,53.0,11600000000.0,Sổ đỏ/ sổ hồng,Cơ bản,4,4,5,-1.0,-1.0,218867925.0
39836054,Nhà riêng,Cầu Giấy,2024-05-13,46.0,12000000000.0,Sổ đỏ/ sổ hồng,Đầy đủ,6,5,5,4.0,3.5,260869565.0
39840561,Nhà riêng,Hai Bà Trưng,2024-05-13,160.0,22000000000.0,Sổ đỏ/ sổ hồng,Khác,6,6,3,-1.0,-1.0,137500000.0
39296301,Nhà riêng,Hoàng Mai,2024-05-13,47.0,3950000000.0,Sổ đỏ/ sổ hồng,Khác,2,1,1,-1.0,-1.0,84042553.0
39840207,Nhà riêng,Hà Đông,2024-05-13,50.0,9300000000.0,Sổ đỏ/ sổ hồng,Đầy đủ,6,3,5,8.0,4.0,186000000.0
39658469,Nhà riêng,Hoàng Mai,2024-05-13,48.0,14000000000.0,Khác,Khác,-1,-1,7,-1.0,6.0,291666667.0
39698302,Nhà biệt thự liền kề,Hoàng Mai,2024-05-13,75.0,18000000000.0,Sổ đỏ/ sổ hồng,Khác,5,4,5,-1.0,5.1,240000000.0
39438353,Nhà riêng,Hoàng Mai,2024-05-13,58.0,9800000000.0,Sổ đỏ/ sổ hồng,Khác,3,4,4,-1.0,-1.0,168965517.0
39440255,Nhà biệt thự liền kề,Hoàng Mai,2024-05-13,54.0,13000000000.0,Sổ đỏ/ sổ hồng,Khác,4,4,5,-1.0,-1.0,240740741.0
39656732,Nhà riêng,Hoàng Mai,2024-05-13,65.0,13900000000.0,Sổ đỏ/ sổ hồng,Khác,-1,-1,7,-1.0,5.5,213846154.0
39638748,Nhà mặt phố,Hoàng Mai,2024-05-13,71.0,38000000000.0,Sổ đỏ/ sổ hồng,Khác,-1,-1,8,-1.0,4.8,535211268.0
38829076,Nhà riêng,Quốc Oai,2024-04-18,55.0,1900000000.0,Sổ đỏ/ sổ hồng,Cơ bản,3,3,3,3.5,4.5,34545455.0
39058335,Nhà riêng,Chương Mỹ,2024-04-18,35.0,1650000000.0,Sổ đỏ/ sổ hồng,Đầy đủ,3,3,3,3.0,4.0,47142857.0
39627399,Nhà riêng,Hoài Đức,2024-04-18,42.0,1690000000.0,Sổ đỏ/ sổ hồng,Đầy đủ,3,3,3,3.5,4.0,40238095.0
39840377,Nhà riêng,Bắc Từ Liêm,2024-05-13,35.0,7300000000.0,Sổ đỏ/ sổ hồng,Đầy đủ,-1,-1,4,-1.0,-1.0,208571429.0
39777656,Nhà riêng,Nam Từ Liêm,2024-05-07,62.0,9900000000.0,Sổ đỏ/ sổ hồng,Đầy đủ,6,4,5,4.0,-1.0,159677419.0
37928246,Nhà mặt phố,Thanh Xuân,2024-05-13,110.0,46000000000.0,Sổ đỏ/ sổ hồng,Khác,-1,-1,10,-1.0,5.3,418181818.0
39840362,Nhà biệt thự liền kề,Hoài Đức,2024-05-13,120.0,19000000000.0,Sổ đỏ/ sổ hồng,Đầy đủ,5,6,4,15.0,6.0,158333333.0
