pr_id,type_estate,district,posted_date,area,price,legal_document,interior,num_bedrooms,num_bathrooms,num_floors,house_orientation,balcony_orientation,entrance,frontage
37187650,Nhà riêng,Hà Đông,15/05/2024,45 m²,12 tỷ,Sổ đỏ/ Sổ hồng,Đầy đủ,4 phòng,4 phòng,4 tầng,Tây - Nam,Tây - Nam,12 m,5 m
39833470,Nhà riêng,Cầu Giấy,13/05/2024,50 m²,"14,9 tỷ",Sổ đỏ/ Sổ hồng,,5 phòng,4 phòng,5 tầng,,,,
39747412,Nhà riêng,Cầu Giấy,06/05/2024,110 m²,"29,8 tỷ",* Sổ đỏ,,6 phòng,4 phòng,6 tầng,,,,"9,2 m"
39822987,Nhà riêng,Nam Từ Liêm,11/05/2024,60 m²,"7,8 tỷ","Sổ đỏ cực đẹp, nở hậu phong thuỷ.",Đầy đủ.,4 phòng,3 phòng,3 tầng,,,4 m,"4,5 m"
39860191,Shophouse/Nhà phố thương mại,Nam Từ Liêm,15/05/2024,163 m²,"10,5 tỷ",- Sổ đỏ chính chủ.,,,,,Đông - Nam,Đông - Nam,,
39834648,Nhà riêng,Thanh Xuân,13/05/2024,55 m²,"15,8 tỷ",Sổ đỏ/ Sổ hồng,,5 phòng,5 phòng,5 tầng,,,,"4,3 m"
39829527,Nhà riêng,Đống Đa,12/05/2024,62 m²,"15,7 tỷ",Sổ đỏ/ Sổ hồng,Đầy đủ,2 phòng,,7 tầng,,,,
39758855,Nhà riêng,Hai Bà Trưng,06/05/2024,"50,7 m²","5,7 tỷ",Sổ đỏ/ Sổ hồng,Đầy đủ,3 phòng,4 phòng,5 tầng,,,,"4,7 m"
39482520,Nhà riêng,Thanh Xuân,10/05/2024,38 m²,"6,5 tỷ",Sổ đỏ/ Sổ hồng,Đầy đủ,3 phòng,4 phòng,5 tầng,,,4 m,"3,6 m"
39859595,Nhà mặt phố,Long Biên,15/05/2024,96 m²,Thỏa thuận,Sổ đỏ/ Sổ hồng,Đầy đủ,4 phòng,4 phòng,5 tầng,,,30 m,6 m
39728582,Nhà riêng,Hoàng Mai,15/05/2024,75 m²,"13,9 tỷ",Sổ đỏ.,Đầy đủ.,5 phòng,4 phòng,5 tầng,,,,"5,5 m"
38681335,Nhà biệt thự liền kề,Hà Đông,07/05/2024,86 m²,Thỏa thuận,Sổ đỏ.,,,,5 tầng,Đông - Nam,,,5 m
39856534,Nhà riêng,Đống Đa,15/05/2024,132 m²,32 tỷ,Sổ đỏ/ Sổ hồng,Đầy đủ,22 phòng,22 phòng,8 tầng,,,5 m,11 m
39312735,Shophouse/Nhà phố thương mại,Bắc Từ Liêm,04/05/2024,"126,9 m²",55 triệu/m²,Hợp đồng mua bán,Không nội thất,,,,,,,
39829524,Nhà riêng,Đống Đa,12/05/2024,34 m²,"8,5 tỷ",Sổ đỏ/ Sổ hồng,Đầy đủ,,,7 tầng,,,,
39715540,Nhà biệt thự liền kề,Nam Từ Liêm,15/05/2024,175 m²,43 tỷ,Sổ đỏ/ Sổ hồng,Đầy đủ,6 phòng,5 phòng,4 tầng,,,15 m,25 m
39856381,Nhà riêng,Long Biên,15/05/2024,"41,6 m²","7,5 tỷ",Sổ đỏ/ Sổ hồng,Đầy đủ.,4 phòng,4 phòng,5 tầng,Đông - Nam,Tây - Nam,6 m,"4,5 m"
39854615,Nhà biệt thự liền kề,Hà Đông,15/05/2024,55 m²,"9,3 tỷ",Sổ đỏ/ Sổ hồng,Đầy đủ,6 phòng,4 phòng,5 tầng,,,15 m,"4,3 m"
39860142,Nhà mặt phố,Thanh Xuân,15/05/2024,500 m²,Thỏa thuận,Sổ đỏ/ Sổ hồng,,4 phòng,3 phòng,2 tầng,,,,
39833838,Nhà riêng,Tây Hồ,13/05/2024,50 m²,"8,5 tỷ",,,6 phòng,6 phòng,5 tầng,,,,
39859106,Nhà riêng,Hoài Đức,15/05/2024,40 m²,"3,5 tỷ",,,4 phòng,3 phòng,4 tầng,,,3 m,
39860137,Nhà biệt thự liền kề,Hoàng Mai,15/05/2024,202 m²,"36,3 tỷ",Sổ đỏ/ Sổ hồng.,Đầy đủ.,5 phòng,5 phòng,4 tầng,,,12 m,14 m
39135560,Nhà mặt phố,Đống Đa,11/05/2024,50 m²,"15,6 tỷ",Sổ đỏ/ Sổ hồng,Đầy đủ,4 phòng,4 phòng,5 tầng,,,,4 m
39715092,Nhà mặt phố,Cầu Giấy,15/05/2024,97 m²,56 tỷ,Sổ đỏ/ Sổ hồng,Đầy đủ,4 phòng,8 phòng,7 tầng,,,20 m,"8,2 m"
39791662,Nhà riêng,Bắc Từ Liêm,08/05/2024,35 m²,"4,3 tỷ",Sổ đỏ/ Sổ hồng,Đầy đủ,3 phòng,,,,,,
39047160,Nhà mặt phố,Hoàn Kiếm,14/05/2024,70 m²,27 tỷ,Sổ đỏ/ Sổ hồng,Đầy đủ,4 phòng,3 phòng,3 tầng,,,,
39860133,Nhà mặt phố,Nam Từ Liêm,15/05/2024,102 m²,28 tỷ,Sổ đỏ vuông.,Đầy đủ.,9 phòng,10 phòng,8 tầng,,,10 m,6 m
39526095,Nhà biệt thự liền kề,Long Biên,14/05/2024,400 m²,Thỏa thuận,Sổ đỏ/ Sổ hồng,Đầy đủ,5 phòng,5 phòng,5 tầng,,,,
39860110,Nhà biệt thự liền kề,Nam Từ Liêm,15/05/2024,105 m²,22 tỷ,Sổ đỏ/ Sổ hồng,Đầy đủ,5 phòng,5 phòng,7 tầng,,,24 m,6 m
39829504,Nhà riêng,Đống Đa,12/05/2024,34 m²,"8,7 tỷ",Sổ đỏ/ Sổ hồng,Đầy đủ,3 phòng,3 phòng,5 tầng,,,,
39860120,Nhà riêng,Đống Đa,15/05/2024,60 m²,12 tỷ,Sổ đỏ/ Sổ hồng,Đầy đủ,6 phòng,5 phòng,5 tầng,,,10 m,"5,2 m"
39859517,Nhà riêng,Cầu Giấy,15/05/2024,70 m²,"14,5 tỷ",Sổ đỏ/ Sổ hồng,Đầy đủ,,,7 tầng,,,,
39859685,Nhà riêng,Hoài Đức,15/05/2024,35 m²,"3,6 tỷ",,,3 phòng,4 phòng,5 tầng,Nam,Nam,3 m,4 m
39736823,Nhà riêng,Hai Bà Trưng,13/05/2024,"55,6 m²","16,2 tỷ",,,,,2 tầng,,,,
39860092,Nhà mặt phố,Hai Bà Trưng,15/05/2024,80 m²,"31,9 tỷ",Sổ đỏ/ Sổ hồng,,,,,,,,
39859032,Nhà riêng,Cầu Giấy,15/05/2024,50 m²,13 tỷ,Sổ đỏ/ Sổ hồng,Đầy đủ,3 phòng,,5 tầng,,,,
39035703,Nhà biệt thự liền kề,Thanh Trì,14/05/2024,300 m²,70 tỷ,Sổ đỏ/ Sổ hồng,,6 phòng,5 phòng,4 tầng,,,,15 m
39814892,Nhà riêng,Cầu Giấy,10/05/2024,50 m²,"14,6 tỷ",Sổ đỏ/ Sổ hồng,Cơ bản,4 phòng,6 phòng,7 tầng,,,4 m,"4,1 m"
39859527,Nhà riêng,Hai Bà Trưng,15/05/2024,85 m²,"16,8 tỷ",Sổ đỏ/ Sổ hồng,Cơ bản,4 phòng,,7 tầng,,,7 m,6 m
