pr_id,type_estate,district,posted_date,area,price,legal_document,interior,num_bedrooms,num_bathrooms,num_floors,house_orientation,balcony_orientation,entrance,frontage
38850622,Nhà biệt thự liền kề,Hà Đông,10/05/2024,240 m²,Thỏa thuận,,,,,,,,,
39812294,Shophouse/Nhà phố thương mại,Cầu Giấy,10/05/2024,100 m²,"44,5 tỷ",Sổ đỏ/ Sổ hồng.,,,,8 tầng,,,,"6,5 m"
39287830,Nhà biệt thự liền kề,Hà Đông,07/05/2024,180 m²,Thỏa thuận,Sổ đỏ/ Sổ hồng,Cơ bản,4 phòng,4 phòng,4 tầng,Tây - Bắc,Đông - Nam,"11,5 m",9 m
38850585,Nhà biệt thự liền kề,Hà Đông,10/05/2024,183 m²,Thỏa thuận,Sổ đỏ/ Sổ hồng,,,,,Tây - Bắc,,"20,5 m",
38657225,Nhà biệt thự liền kề,Mê Linh,10/05/2024,104 m²,"6,65 tỷ",Sổ đỏ sổ hồng,,,,,Đông - Bắc,,"13,5 m","5,2 m"
39810164,Nhà mặt phố,Hà Đông,10/05/2024,42 m²,9 tỷ,,,4 phòng,,4 tầng,,,,
39810987,Nhà riêng,Nam Từ Liêm,10/05/2024,79 m²,Thỏa thuận,Sổ đỏ/ Sổ hồng,Đầy đủ,19 phòng,19 phòng,8 tầng,,,3 m,6 m
39768372,Nhà biệt thự liền kề,Nam Từ Liêm,06/05/2024,95 m²,Thỏa thuận,,,4 phòng,4 phòng,4 tầng,Đông - Nam,Tây - Bắc,,
39808686,Nhà biệt thự liền kề,Tây Hồ,10/05/2024,319 m²,Thỏa thuận,Sổ đỏ/ Sổ hồng,,,,4 tầng,,,,
39808304,Nhà riêng,Cầu Giấy,10/05/2024,88 m²,"21,8 tỷ",Sổ đỏ/ Sổ hồng,,3 phòng,4 phòng,,,,,14 m
39830074,Nhà biệt thự liền kề,Nam Từ Liêm,12/05/2024,"105,6 m²","18,9 tỷ",Sổ đỏ cất két.,,,,4 tầng,,,6 m,"8,8 m"
39806682,Nhà mặt phố,Bắc Từ Liêm,09/05/2024,188 m²,48 tỷ,Sổ đỏ,,,,3 tầng,Đông - Nam,,,7 m
39829689,Nhà biệt thự liền kề,Hà Đông,12/05/2024,60 m²,Thỏa thuận,Sổ đỏ/ Sổ hồng,,,,5 tầng,,,12 m,5 m
39827931,Shophouse/Nhà phố thương mại,Gia Lâm,12/05/2024,90 m²,"20,5 tỷ",Sổ đỏ/ Sổ hồng,Đầy đủ,4 phòng,3 phòng,4 tầng,Tây - Bắc,Tây - Bắc,30 m,"7,5 m"
39827375,Nhà biệt thự liền kề,Hà Đông,12/05/2024,120 m²,15 tỷ,,,,,,,,,
39822392,Shophouse/Nhà phố thương mại,Hoài Đức,11/05/2024,122 m²,"22,08 tỷ",Hợp đồng mua bán,Không nội thất,4 phòng,4 phòng,4 tầng,Đông,Đông,14 m,8 m
39626319,Nhà biệt thự liền kề,Gia Lâm,11/05/2024,67 m²,"13,9 tỷ",Sổ đỏ,,,,4 tầng,Tây - Nam,Tây - Nam,13 m,
