Unnamed: 0,type_estate,district,price_per_sqm,posted_date,area,price,legal_document,interior,num_bedrooms,num_bathrooms,num_floors,entrance,frontage
65,3,5,~300 triệu/m²,11/05/2024,300.0,90 tỷ,252,146,6,6,4,12.181061122472167,6.78865638058502
67,3,8,,12/05/2024,95.0,Thỏa thuận,136,146,6,6,5,12.181061122472167,6.78865638058502
68,3,8,~134 triệu/m²,12/05/2024,100.0,"13,4 tỷ",133,146,4,4,3,13.5,5.0
69,3,11,,12/05/2024,60.0,Thỏa thuận,252,146,6,6,5,12.0,5.0
70,3,14,"~178,98 triệu/m²",12/05/2024,105.6,"18,9 tỷ",203,146,6,6,4,6.0,8.8
71,6,5,"~227,78 triệu/m²",12/05/2024,90.0,"20,5 tỷ",252,294,4,3,4,30.0,7.5
72,3,10,"~26,69 tỷ",12/05/2024,157.0,170 triệu/m²,251,146,6,6,4,12.181061122472167,6.78865638058502
74,3,11,~125 triệu/m²,12/05/2024,120.0,15 tỷ,139,146,6,6,4,12.181061122472167,6.78865638058502
75,3,5,~180 triệu/m²,12/05/2024,150.0,27 tỷ,252,146,6,6,4,12.181061122472167,10.0
76,3,12,"~246,91 triệu/m²",12/05/2024,162.0,40 tỷ,252,95,6,6,4,12.181061122472167,6.78865638058502
77,5,27,"~433,33 triệu/m²",11/05/2024,60.0,26 tỷ,252,294,4,6,7,4.0,10.0
78,3,8,"~165,09 triệu/m²",11/05/2024,212.0,35 tỷ,252,42,7,6,5,40.0,7.5
79,6,8,~181 triệu/m²,11/05/2024,122.0,"22,08 tỷ",133,114,4,4,4,14.0,8.0
80,5,16,"~57,45 triệu/m²",11/05/2024,47.0,"2,7 tỷ",253,146,4,3,3,12.181061122472167,6.78865638058502
81,3,11,"~161,11 triệu/m²",11/05/2024,180.0,29 tỷ,252,42,5,3,4,40.0,10.0
82,3,24,,11/05/2024,240.0,Thỏa thuận,139,146,6,6,4,12.181061122472167,6.78865638058502
83,4,21,"~289,77 triệu/m²",11/05/2024,88.0,"25,5 tỷ",252,294,6,4,4,15.0,6.78865638058502
85,5,9,,11/05/2024,21.0,Thỏa thuận,182,146,6,3,4,4.0,6.78865638058502
86,3,5,"~207,46 triệu/m²",11/05/2024,67.0,"13,9 tỷ",178,146,6,6,4,13.0,6.78865638058502
